neck_base,neck_base,neck_base,neck_base,back_end,back_end,back_end,back_end,back_middle,back_middle,back_middle,back_middle,front_left_thai,front_left_thai,front_left_thai,front_left_thai,front_left_knee,front_left_knee,front_left_knee,front_left_knee,front_left_paw,front_left_paw,front_left_paw,front_left_paw,front_right_thai,front_right_thai,front_right_thai,front_right_thai,front_right_knee,front_right_knee,front_right_knee,front_right_knee,front_right_paw,front_right_paw,front_right_paw,front_right_paw,back_left_paw,back_left_paw,back_left_paw,back_left_paw,back_left_thai,back_left_thai,back_left_thai,back_left_thai,back_right_thai,back_right_thai,back_right_thai,back_right_thai,back_left_knee,back_left_knee,back_left_knee,back_left_knee,back_right_knee,back_right_knee,back_right_knee,back_right_knee,back_right_paw,back_right_paw,back_right_paw,back_right_paw
x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z
1230.1015625,384.5859375,0.84521484375,25.975078561343253,654.7578125,418.4296875,0.8779296875,-7.1769452672451735,942.4296875,367.6640625,0.75830078125,0.0,1128.5703125,604.5703125,0.87841796875,61.33656061347574,1094.7265625,773.7890625,0.63525390625,-91.94340000580996,1111.6484375,926.0859375,0.8720703125,-62.35560615826398,1196.2578125,587.6484375,0.84619140625,98.4651827858761,1280.8671875,723.0234375,0.716796875,169.30088318139315,1500.8515625,926.0859375,0.853515625,157.3973419452086,553.2265625,892.2421875,0.8759765625,-179.91676833759993,688.6015625,587.6484375,0.6455078125,59.64635532628745,722.4453125,553.8046875,0.77294921875,67.22836719173938,570.1484375,739.9453125,0.8125,-202.3877405328676,705.5234375,790.7109375,0.83935546875,-29.41676312033087,790.1328125,926.0859375,0.8828125,-54.585865256376565
1230.1015625,384.5859375,0.84521484375,29.77265747729689,654.7578125,418.4296875,0.8779296875,-3.319542344659567,942.4296875,367.6640625,0.75634765625,0.0,1128.5703125,604.5703125,0.87744140625,63.3724220264703,1094.7265625,773.7890625,0.63427734375,-89.5589201245457,1111.6484375,926.0859375,0.8720703125,-60.64924116060138,1196.2578125,587.6484375,0.84765625,100.85428315028548,1280.8671875,723.0234375,0.7197265625,172.8107843035832,1500.8515625,926.0859375,0.853515625,161.0819502240047,553.2265625,892.2421875,0.876953125,-176.749378439039,688.6015625,587.6484375,0.64697265625,65.9824451552704,722.4453125,553.8046875,0.77392578125,70.08852229546756,570.1484375,739.9453125,0.81396484375,-204.7973738918081,705.5234375,790.7109375,0.83935546875,-27.426338888704777,790.1328125,926.0859375,0.8828125,-49.88365928828716
1229.7421875,388.203125,0.83447265625,48.62529913522303,655.4609375,422.015625,0.85009765625,16.479539338499308,942.6015625,354.390625,0.77001953125,0.0,1128.3984375,607.984375,0.888671875,75.5118023660034,1094.6171875,777.046875,0.63916015625,-71.96481595374644,1111.5078125,929.203125,0.9052734375,-41.76129865087569,1195.9609375,574.171875,0.84033203125,113.88031972572207,1280.4140625,726.328125,0.732421875,191.7244135737419,1499.9921875,929.203125,0.85498046875,180.3731906618923,537.2265625,895.390625,0.88330078125,-155.0622534211725,689.2421875,591.078125,0.64013671875,85.62022156454623,723.0234375,557.265625,0.78173828125,88.26490343734622,571.0078125,743.234375,0.82080078125,-193.03475497849286,689.2421875,793.953125,0.85888671875,-11.253303671255708,790.5859375,929.203125,0.8994140625,-31.40382611937821
1217.375,399.0078125,0.70751953125,49.55541779100895,665.375,399.0078125,0.8642578125,7.630547404289246,958.625,364.4765625,0.77197265625,0.0,1113.875,623.4609375,0.900390625,-71.89257945120335,1079.375,778.8515625,0.67236328125,-80.82890670001507,1079.375,934.2421875,0.88818359375,-40.744222939014435,1200.125,588.9296875,0.853515625,116.99657785892487,1269.125,727.0546875,0.7353515625,185.15524269640446,1476.125,934.2421875,0.8740234375,184.41956441104412,527.375,865.1796875,0.87548828125,-178.5690072774887,768.875,571.6640625,0.80908203125,-58.04622718691826,717.125,571.6640625,0.8427734375,87.44225510954857,596.375,709.7890625,0.81201171875,-220.8838683515787,682.625,778.8515625,0.88134765625,-6.449977248907089,768.875,934.2421875,0.92138671875,-26.240737602114677
1216.015625,364.421875,0.68017578125,38.10035922750831,665.015625,398.859375,0.86669921875,7.924304988235235,957.734375,364.421875,0.794921875,0.0,1112.703125,622.703125,0.900390625,-63.67404541000724,1078.265625,777.671875,0.70654296875,-80.58758322149515,1078.265625,932.640625,0.8837890625,-44.44167052209377,1198.796875,588.265625,0.85546875,118.29665513336658,1267.671875,726.015625,0.75048828125,184.63038025423884,1474.296875,932.640625,0.8583984375,179.38195100054145,527.265625,880.984375,0.8681640625,-166.41782971844077,768.328125,571.046875,0.79345703125,-64.5775292776525,716.671875,571.046875,0.82568359375,89.8784046843648,596.140625,708.796875,0.8095703125,-233.28664747998118,682.234375,777.671875,0.86474609375,-5.125008873641491,768.328125,932.640625,0.9228515625,-27.83491349220276
1241.8984375,382.015625,0.72998046875,28.77375139668584,659.1171875,399.171875,0.86962890625,-13.586432153359056,950.5078125,382.015625,0.751953125,0.0,1104.7734375,622.203125,0.87255859375,-85.33187683857977,1053.3515625,793.765625,0.69091796875,-103.80991372838616,1053.3515625,931.015625,0.94921875,-78.2645985968411,1190.4765625,587.890625,0.85400390625,100.16071093827486,1259.0390625,725.140625,0.69970703125,157.64946445822716,1430.4453125,948.171875,0.8642578125,129.46737403795123,504.8515625,845.234375,0.85986328125,-205.12253932096064,761.9609375,570.734375,0.8544921875,-88.40090610459447,727.6796875,570.734375,0.77783203125,71.76461071334779,590.5546875,690.828125,0.80712890625,-272.6541670765728,676.2578125,776.609375,0.8388671875,-27.902216248214245,744.8203125,931.015625,0.91748046875,-52.373793587088585
1208.9765625,381.3671875,0.6943359375,29.131779605522752,659.4765625,398.5390625,0.87158203125,-12.760313048027456,951.3984375,381.3671875,0.76708984375,0.0,1105.9453125,621.7734375,0.86474609375,-62.43604453280568,1054.4296875,793.4921875,0.71484375,-103.59230553265661,1054.4296875,930.8671875,0.93603515625,-81.05736541841179,1191.8046875,587.4296875,0.8515625,104.62951029092073,1260.4921875,724.8046875,0.6962890625,161.23269083350897,1432.2109375,948.0390625,0.85400390625,122.85952749475837,504.9296875,845.0078125,0.85546875,-203.351661702618,762.5078125,570.2578125,0.85205078125,-94.46844648756087,710.9921875,570.2578125,0.771484375,73.5290058599785,607.9609375,690.4609375,0.80810546875,-270.8737924201414,676.6484375,776.3203125,0.82958984375,-25.215084275230765,745.3359375,930.8671875,0.9189453125,-53.399585619568825
1204.546875,389.765625,0.8115234375,48.73932924866676,654.890625,389.765625,0.85546875,-11.690723929554224,938.046875,373.109375,0.7001953125,0.0,1104.609375,622.953125,0.8701171875,13.514474265277386,1037.984375,789.515625,0.64599609375,-98.1048286780715,1021.328125,922.765625,0.9404296875,-77.03101226687431,1171.234375,606.296875,0.8857421875,120.90822017937899,1221.203125,722.890625,0.70458984375,161.7546364441514,1404.421875,972.734375,0.87890625,122.24916129559278,521.640625,839.484375,0.86572265625,-193.08764205127954,771.484375,589.640625,0.8505859375,-108.54404508695006,704.859375,572.984375,0.8369140625,87.95914299041033,604.921875,689.578125,0.88330078125,-269.89636194333434,654.890625,772.859375,0.85595703125,-14.24380099028349,721.515625,922.765625,0.90380859375,-42.4488614089787
1214.140625,381.4453125,0.80126953125,36.67088226415217,654.171875,398.3984375,0.83935546875,-14.391057461500168,942.640625,381.4453125,0.7490234375,0.0,1095.359375,618.7890625,0.8779296875,37.855816926807165,1044.453125,788.3203125,0.63427734375,-110.11116192676127,1027.484375,923.9453125,0.90673828125,-94.16765809059143,1180.203125,601.8359375,0.88232421875,112.84519745409489,1231.109375,720.5078125,0.5927734375,156.05594317615032,1400.796875,974.8046875,0.8681640625,105.7373518217355,518.421875,839.1796875,0.8505859375,-203.1426532380283,772.953125,584.8828125,0.86279296875,-131.12226421758533,705.078125,567.9296875,0.82763671875,74.78676538914442,603.265625,703.5546875,0.8984375,-279.3491934761405,654.171875,771.3671875,0.80078125,-25.03409079834819,722.046875,923.9453125,0.900390625,-54.86647357605398
1205.5078125,377.7109375,0.74462890625,41.46328702569008,657.3984375,394.3203125,0.82275390625,-12.408670596778393,956.3671875,377.7109375,0.736328125,0.0,1105.8515625,626.8515625,0.88671875,-58.89922984037548,1039.4140625,776.3359375,0.6552734375,-103.24336547590792,1022.8046875,925.8203125,0.9052734375,-89.97116517927498,1172.2890625,610.2421875,0.8974609375,119.12631434947252,1222.1171875,743.1171875,0.6328125,160.71577096357942,1404.8203125,975.6484375,0.8681640625,103.56571206729859,524.5234375,842.7734375,0.88916015625,-201.7310113152489,773.6640625,577.0234375,0.7939453125,-135.86906418483704,707.2265625,577.0234375,0.8203125,81.96051425114274,607.5703125,693.2890625,0.900390625,-266.2578741563484,657.3984375,776.3359375,0.80078125,-26.56102290842682,723.8359375,925.8203125,0.9248046875,-53.40453261509538
